Tienda,Ticket,Material,Grupo art.,Denominacion 2 del gr.articulos,Producto,Venta,Fecha Vta,Hora Vta,Cantidad,UMB
TIENDA 1,2133674,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,06:05:28,1,PZ
TIENDA 1,2133675,3500673,7002,Tabaco - Tabacos Bat,Producto 85,53.64,01/06/2024,06:08:13,1,PZ
TIENDA 1,2133676,2501391,5006,Pan y Galletas - Galletas,Producto 99,17.47,01/06/2024,06:08:55,1,PZ
TIENDA 1,2133676,4101314,8204,Bebidas Calientes - Capuchino,Producto 100,26.38,01/06/2024,06:08:55,1,PZ
TIENDA 1,2133677,2500684,5006,Pan y Galletas - Galletas,Producto 101,40.61,01/06/2024,06:09:55,1,PZ
TIENDA 1,2133677,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,06:09:55,1,PZ
TIENDA 1,2133678,1400360,280402,Bebidas - Energizantes - Energizantes,Producto 93,17.15,01/06/2024,06:15:17,1,PZ
TIENDA 1,2133679,1400033,280602,Bebidas - Isotonicos - Isotonicos,Producto 97,23.75,01/06/2024,06:25:15,1,PZ
TIENDA 1,2133680,2800186,560406,Recargas - Datos - Telcel Paquete,Producto 6,175.86,01/06/2024,06:28:57,1,SER
TIENDA 1,2133681,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,06:29:47,1,PZ
TIENDA 1,2133681,1100546,220604,Abarrotes - No Comestible - Desechables,Producto 4,86.17,01/06/2024,06:29:47,1,PZ
TIENDA 1,2133682,1400034,280602,Bebidas - Isotonicos - Isotonicos,Producto 12,30.77,01/06/2024,06:30:13,1,PZ
TIENDA 1,2133682,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,21.1,01/06/2024,06:30:13,1,PZ
TIENDA 1,2133683,4101310,8204,Bebidas Calientes - Capuchino,Producto 102,24.62,01/06/2024,06:33:53,1,PZ
TIENDA 1,2133683,4101298,8202,Bebidas Calientes - Americano,Producto 54,21.98,01/06/2024,06:33:53,1,PZ
TIENDA 1,2133684,1300008,260206,Agua - Natural - Ciel,Producto 103,16.83,01/06/2024,06:37:09,1,PZ
TIENDA 1,2133684,2501161,5006,Pan y Galletas - Galletas,Producto 104,22.66,01/06/2024,06:37:09,1,PZ
TIENDA 1,2133685,1400360,280402,Bebidas - Energizantes - Energizantes,Producto 93,17.15,01/06/2024,06:39:40,1,PZ
TIENDA 1,2133686,1300093,260204,Agua - Natural - E Pura,Producto 86,18.36,01/06/2024,06:40:52,1,PZ
TIENDA 1,2133686,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,06:40:52,1,PZ
TIENDA 1,2133687,3000631,600604,Refrescos - Pe�afiel - Mineral,Producto 105,11.87,01/06/2024,06:41:11,1,PZ
TIENDA 1,2133687,1400027,280602,Bebidas - Isotonicos - Isotonicos,Producto 106,30.77,01/06/2024,06:41:11,1,PZ
TIENDA 1,2133688,3000391,600206,Refrescos - Coca Cola - Mineral,Producto 107,19.35,01/06/2024,06:41:44,1,PZ
TIENDA 1,2133689,3000056,600202,Refrescos - Coca Cola - Colas,Producto 108,46.6,01/06/2024,06:49:50,1,PZ
TIENDA 1,2133691,1300093,260204,Agua - Natural - E Pura,Producto 86,18.36,01/06/2024,06:54:37,1,PZ
TIENDA 1,2133691,1400035,280602,Bebidas - Isotonicos - Isotonicos,Producto 109,23.75,01/06/2024,06:54:37,1,PZ
TIENDA 1,2133692,1400273,280602,Bebidas - Isotonicos - Isotonicos,Producto 9,32.98,01/06/2024,06:55:23,1,PZ
TIENDA 1,2133692,1400057,280402,Bebidas - Energizantes - Energizantes,Producto 110,40.45,01/06/2024,06:55:23,1,PZ
TIENDA 1,2133692,1400080,280402,Bebidas - Energizantes - Energizantes,Producto 111,47.04,01/06/2024,06:55:23,1,PZ
TIENDA 1,2133693,1300097,260802,Agua - Garrafon - Garrafon,Producto 112,51,01/06/2024,07:04:02,1,PZ
TIENDA 1,2133693,2200073,440214,Lacteos y Embutidos - Lacteos - Leche Uht,Producto 113,24.48,01/06/2024,07:04:02,1,PZ
TIENDA 1,2133693,4200171,8404,Bebidas Frias - Frappes,Producto 8,30.77,01/06/2024,07:04:02,1,PZ
TIENDA 1,2133694,1400300,280402,Bebidas - Energizantes - Energizantes,Producto 18,19.79,01/06/2024,07:04:45,1,PZ
TIENDA 1,2133695,1501430,300212,Botanas - Sabritas - Extruidos,Producto 114,21.73,01/06/2024,07:05:25,1,PZ
TIENDA 1,2133696,3000700,600202,Refrescos - Coca Cola - Colas,Producto 41,23.75,01/06/2024,07:07:14,1,PZ
TIENDA 1,2133696,3000391,600206,Refrescos - Coca Cola - Mineral,Producto 107,19.35,01/06/2024,07:07:14,1,PZ
TIENDA 1,2133697,1101201,220210,Abarrotes - Comestibles - Canasta Basica,Producto 115,14.28,01/06/2024,07:08:12,1,PZ
TIENDA 1,2133698,2500513,5002,Pan y Galletas - Pan,Producto 43,54.77,01/06/2024,07:08:40,1,PZ
TIENDA 1,2133699,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,07:09:05,1,PZ
TIENDA 1,2133699,4101299,8202,Bebidas Calientes - Americano,Producto 33,23.75,01/06/2024,07:09:05,1,PZ
TIENDA 1,2133812,2500593,5006,Pan y Galletas - Galletas,Producto 71,25.5,01/06/2024,10:25:22,1,PZ
TIENDA 1,2133812,1700868,3408,Dulces - Enchilados,Producto 116,17.94,01/06/2024,10:25:22,1,PZ
TIENDA 1,2133812,1400690,280602,Bebidas - Isotonicos - Isotonicos,Producto 117,25.5,01/06/2024,10:25:22,1,PZ
TIENDA 1,2133812,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,69.46,01/06/2024,10:25:22,1,PZ
TIENDA 1,2133700,1801771,3604,Farmacia - Curacion,Producto 118,13.19,01/06/2024,07:13:01,1,PZ
TIENDA 1,2133700,1800182,3606,Farmacia - Higiene Personal,Producto 119,36.05,01/06/2024,07:13:01,1,PZ
TIENDA 1,2133700,1800220,3604,Farmacia - Curacion,Producto 120,28.14,01/06/2024,07:13:01,1,PZ
TIENDA 1,2133701,2201010,440202,Lacteos y Embutidos - Lacteos - Bebible,Producto 121,32.64,01/06/2024,07:13:54,1,PZ
TIENDA 1,2133701,2500539,5006,Pan y Galletas - Galletas,Producto 122,31.17,01/06/2024,07:13:54,1,PZ
TIENDA 1,2133702,3500138,7004,Tabaco - Tabacos Pm,Producto 52,73.86,01/06/2024,07:15:52,1,PZ
TIENDA 1,2133702,1700406,3406,Dulces - Pastillas Refrescantes,Producto 62,11.33,01/06/2024,07:15:52,1,PZ
TIENDA 1,2133703,2800042,560212,Recargas - Telefonicas - Unefon,Producto 123,43.96,01/06/2024,07:17:27,1,SER
TIENDA 1,2133704,1700405,3406,Dulces - Pastillas Refrescantes,Producto 124,11.33,01/06/2024,07:18:06,1,PZ
TIENDA 1,2133705,1300093,260204,Agua - Natural - E Pura,Producto 86,18.36,01/06/2024,07:20:08,1,PZ
TIENDA 1,2133705,2501142,5006,Pan y Galletas - Galletas,Producto 125,26.45,01/06/2024,07:20:08,1,PZ
TIENDA 1,2133705,2502211,5006,Pan y Galletas - Galletas,Producto 126,26.45,01/06/2024,07:20:08,1,PZ
TIENDA 1,2133705,1300076,260404,Agua - Saborizada - Juizzy,Producto 127,12.75,01/06/2024,07:20:08,1,PZ
TIENDA 1,2133705,1300093,260204,Agua - Natural - E Pura,Producto 86,18.36,01/06/2024,07:20:08,1,PZ
TIENDA 1,2133706,4301691,8646,COMIDA RAPIDA - EUROPASTRY,Producto 83,23.46,01/06/2024,07:23:14,1,PZ
TIENDA 1,2133706,4301691,8646,COMIDA RAPIDA - EUROPASTRY,Producto 83,23.46,01/06/2024,07:23:14,1,PZ
TIENDA 1,2133706,4301691,8646,COMIDA RAPIDA - EUROPASTRY,Producto 83,23.46,01/06/2024,07:23:14,1,PZ
TIENDA 1,2133707,1300052,260202,Agua - Natural - Bonafont,Producto 23,32.64,01/06/2024,07:24:34,2,PZ
TIENDA 1,2133707,3000066,600202,Refrescos - Coca Cola - Colas,Producto 128,20.67,01/06/2024,07:24:34,1,PZ
TIENDA 1,2133708,2201012,440202,Lacteos y Embutidos - Lacteos - Bebible,Producto 31,32.64,01/06/2024,07:25:13,1,PZ
